Date,ISO_Year,ISO_Week,Year_Week,Total_K,Menthol_K,Mint_K,AllOther_K,Tobacco_K,ClearCooling_K,Unknown_K
03-02-2019,2019,5,2019-W05,3370.133262,478.2342491,1223.629258,1015.704555,766.3593623,0,1.268707681
10-02-2019,2019,6,2019-W06,3385.848229,474.0965118,1278.044044,848.9526941,771.4450378,0,1.207016146
17-02-2019,2019,7,2019-W07,3408.00752,473.058799,1326.997375,805.0796497,777.7094733,0,1.246736124
24-02-2019,2019,8,2019-W08,3436.010989,474.61044,1371.329324,830.2631013,784.4861266,0,1.27754005
03-03-2019,2019,9,2019-W09,3439.777049,466.4696742,1444.228667,753.4713397,791.0897712,0,1.213752194
10-03-2019,2019,10,2019-W10,3477.352681,471.5526368,1482.699406,764.6745307,797.1346971,0,1.257490784
17-03-2019,2019,11,2019-W11,3518.935349,477.6636508,1519.020579,752.9509398,802.8785902,0,1.264279518
24-03-2019,2019,12,2019-W12,3563.934922,484.3140382,1554.051349,728.9031899,808.8969416,0,1.264477504
31-03-2019,2019,13,2019-W13,3598.217858,490.7866887,1597.007355,721.905947,812.0922296,0,0.760549797
07-04-2019,2019,14,2019-W14,3648.128706,497.1144084,1632.070308,702.1629883,820.03151,0,1.028169065
14-04-2019,2019,15,2019-W15,3700.019747,503.1341931,1667.538131,690.4537166,829.0720084,0,1.014428477
21-04-2019,2019,16,2019-W16,3753.633689,508.9647097,1703.384206,685.4773481,838.804252,0,0.99685266
28-04-2019,2019,17,2019-W17,15559.98477,2097.604159,7189.224633,2661.198512,3449.554677,0.092842395,4.875679377
05-05-2019,2019,18,2019-W18,15790.04949,2121.436938,7340.170666,2681.160816,3490.673142,0.079399621,4.755530279
12-05-2019,2019,19,2019-W19,16024.10824,2146.1139,7492.357377,2714.272491,3530.551382,0.063756663,4.622209918
19-05-2019,2019,20,2019-W20,16261.14614,2172.173535,7645.677255,2756.211865,3567.839001,0.04639969,4.477715299
26-05-2019,2019,21,2019-W21,4038.870609,539.4683836,1894.123514,682.0941829,890.068072,0,1.676991473
02-06-2019,2019,22,2019-W22,4097.428631,546.8082238,1931.735658,694.2843663,897.4123866,0,1.292895616
09-06-2019,2019,23,2019-W23,4154.652496,553.8710389,1968.956796,705.9210358,903.5101631,0,1.241332675
16-06-2019,2019,24,2019-W24,4209.048265,559.8523536,2005.184032,717.700415,909.0093784,0,1.188780236
23-06-2019,2019,25,2019-W25,4284.845492,574.1075292,2052.50101,732.2051836,916.7730632,0,1.505982163
30-06-2019,2019,26,2019-W26,4329.889208,575.6595923,2085.275392,743.2939392,921.6228696,0,1.117605538
07-07-2019,2019,27,2019-W27,4371.854245,575.5325066,2116.281403,755.8186216,927.4681113,0,1.064159747
14-07-2019,2019,28,2019-W28,4413.411056,574.7003719,2145.942194,768.6822556,934.1359559,0,1.012252552
21-07-2019,2019,29,2019-W29,4461.249623,574.030849,2191.478067,779.7711391,937.355123,0,1.154238595
28-07-2019,2019,30,2019-W30,4508.349125,574.7073238,2218.971834,794.1897821,946.7166213,0,0.891268318
04-08-2019,2019,31,2019-W31,4550.914647,575.5840446,2240.187159,807.2109861,955.0938698,0,0.847877914
11-08-2019,2019,32,2019-W32,4579.486605,575.6777825,2249.362941,818.8280926,960.8343859,0,0.806615174
18-08-2019,2019,33,2019-W33,4720.161147,583.4568295,2342.105038,844.8136949,988.5619984,0,0.183146284
25-08-2019,2019,34,2019-W34,4693.45303,578.8525194,2310.122393,850.6666943,983.023968,0,0.356774332
01-09-2019,2019,35,2019-W35,4635.840263,572.4593841,2257.903769,853.1408791,971.9526174,0,0.338805252
08-09-2019,2019,36,2019-W36,4550.54556,565.231267,2189.868799,851.3787317,956.4614162,0,0.321274132
15-09-2019,2019,37,2019-W37,4567.811315,558.7234082,2176.408078,869.0971351,952.2267693,0,0.081855942
22-09-2019,2019,38,2019-W38,4435.795296,552.9207196,2088.277481,857.7609732,931.8727848,0,0.219523173
29-09-2019,2019,39,2019-W39,4303.671472,547.3041526,2003.350976,843.6457402,913.7991808,0,0.206423438
06-10-2019,2019,40,2019-W40,4192.721918,541.0517196,1931.963465,829.4961515,902.101265,0,0.193197447
13-10-2019,2019,41,2019-W41,3929.542575,535.2390006,1783.196294,805.4296228,851.2254444,0,0.045680334
20-10-2019,2019,42,2019-W42,3919.336718,525.6015807,1766.897957,798.7015044,862.5022391,0,0.145846993
27-10-2019,2019,43,2019-W43,3949.833919,518.874423,1770.075127,796.7449642,881.9745011,0,0.133278739
03-11-2019,2019,44,2019-W44,4001.286788,520.2849957,1779.830621,799.1239086,904.2978154,0,0.120193933
10-11-2019,2019,45,2019-W45,4037.286485,467.2631792,1831.145623,776.8845079,932.6685672,0,1.073422853
17-11-2019,2019,46,2019-W46,4073.469455,495.7950641,1815.444505,787.0110748,945.8096272,0,0.438600774
24-11-2019,2019,47,2019-W47,4092.69003,539.5866593,1769.692532,804.1568296,955.4887841,0,0.373046028
01-12-2019,2019,48,2019-W48,4096.55403,597.3550974,1683.71734,831.9475877,966.0330215,0,0.314930345
08-12-2019,2019,49,2019-W49,4164.901418,633.5373501,1873.939299,819.5655586,961.7832542,0.431383008,1.296757985
15-12-2019,2019,50,2019-W50,4143.774751,710.5094514,1643.19869,873.0463281,985.6484714,0.377026017,0.293235084
22-12-2019,2019,51,2019-W51,4113.667339,790.3377999,1375.574617,930.0488593,1013.308833,0.50928944,0.289340214
29-12-2019,2019,52,2019-W52,4077.656491,865.6153986,1107.287395,977.3392539,1039.259441,0.682301536,0.320666716
05-01-2020,2020,1,2020-W01,4055.134522,1034.334078,915.916089,1131.112473,1096.081157,0.547906852,0.179401903
12-01-2020,2020,2,2020-W02,4015.852169,1084.665142,738.4729109,1123.06284,1103.322856,0.791243561,0.174043316
19-01-2020,2020,3,2020-W03,3979.600363,1122.93305,616.2420343,1091.615336,1102.360006,1.049260617,0.233612662
26-01-2020,2020,4,2020-W04,3949.412945,1158.06773,529.3689659,1054.209351,1098.235981,1.41158897,0.31394212
02-02-2020,2020,5,2020-W05,3874.718839,1184.47972,453.2620414,988.5282266,1087.785565,2.237935826,0.085322124
09-02-2020,2020,6,2020-W06,3865.701481,1239.480193,381.8226976,986.8702277,1092.043433,2.963239692,0.233855724
16-02-2020,2020,7,2020-W07,3870.157777,1303.762038,312.6233229,1001.939601,1102.372576,3.75695111,0.300661494
23-02-2020,2020,8,2020-W08,3889.421904,1372.278048,252.2919381,1022.661945,1117.798427,4.441873372,0.380160658
01-03-2020,2020,9,2020-W09,3836.113285,1463.836578,178.7486428,1052.090231,1118.476686,7.580954715,0.783274204
08-03-2020,2020,10,2020-W10,3887.20889,1524.965472,157.9691895,1054.186126,1140.177819,7.684504254,1.128163308
